,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
111,"110,110,""","Clay County"","" FL""""","12019""""",28,879455,"3.2"""
112,"111,111,""","Collier County"","" FL""""","12021""""",30,1542343,"1.9"""
113,"112,112,""","Columbia County"","" FL""""","12023""""",21,285228,"7.4"""
114,"113,113,""","Duval County"","" FL""""","12031""""",230,3874599,"5.9"""
115,"114,114,""","Escambia County"","" FL""""","12033""""",56,1278604,"4.4"""
116,"115,115,""","Gadsden County"","" FL""""","12039""""",16,180545,"Unreliable"""
117,"116,116,""","Hendry County"","" FL""""","12051""""",13,166704,"Unreliable"""
118,"117,117,""","Hernando County"","" FL""""","12053""""",21,784215,"2.7"""
119,"118,118,""","Highlands County"","" FL""""","12055""""",11,421580,"Unreliable"""
120,"119,119,""","Hillsborough County"","" FL""""","12057""""",297,5885007,"5.0"""
121,"120,120,""","Indian River County"","" FL""""","12061""""",15,643516,"Unreliable"""
122,"121,121,""","Jackson County"","" FL""""","12063""""",10,188498,"Unreliable"""
123,"122,122,""","Lake County"","" FL""""","12069""""",41,1494909,"2.7"""
124,"123,123,""","Lee County"","" FL""""","12071""""",99,3103930,"3.2"""
125,"124,124,""","Leon County"","" FL""""","12073""""",70,1174361,"6.0"""
126,"125,125,""","Manatee County"","" FL""""","12081""""",44,1622030,"2.7"""
127,"126,126,""","Marion County"","" FL""""","12083""""",57,1484984,"3.8"""
128,"127,127,""","Miami-Dade County"","" FL""""","12086""""",310,10848601,"2.9"""
129,"128,128,""","Nassau County"","" FL""""","12089""""",10,359759,"Unreliable"""
130,"129,129,""","Okaloosa County"","" FL""""","12091""""",34,844082,"4.0"""
131,"130,130,""","Orange County"","" FL""""","12095""""",240,5601239,"4.3"""
132,"131,131,""","Osceola County"","" FL""""","12097""""",58,1532338,"3.8"""
133,"132,132,""","Palm Beach County"","" FL""""","12099""""",156,5988298,"2.6"""
134,"133,133,""","Pasco County"","" FL""""","12101""""",70,2248056,"3.1"""
135,"134,134,""","Pinellas County"","" FL""""","12103""""",107,3883693,"2.8"""
136,"135,135,""","Polk County"","" FL""""","12105""""",124,2930858,"4.2"""
137,"136,136,""","Putnam County"","" FL""""","12107""""",24,297666,"8.1"""
138,"137,137,""","St. Johns County"","" FL""""","12109""""",28,1090114,"2.6"""
139,"138,138,""","St. Lucie County"","" FL""""","12111""""",27,1330190,"2.0"""
140,"139,139,""","Santa Rosa County"","" FL""""","12113""""",21,746799,"2.8"""
141,"140,140,""","Sarasota County"","" FL""""","12115""""",34,1750982,"1.9"""
142,"141,141,""","Seminole County"","" FL""""","12117""""",51,1883922,"2.7"""
143,"142,142,""","Volusia County"","" FL""""","12127""""",59,2226731,"2.6"""
144,"143,143,""","Barrow County"","" GA""""","13013""""",10,336295,"Unreliable"""
145,"144,144,""","Bartow County"","" GA""""","13015""""",14,434415,"Unreliable"""
146,"145,145,""","Bibb County"","" GA""""","13021""""",41,615753,"6.7"""
147,"146,146,""","Bulloch County"","" GA""""","13031""""",14,320185,"Unreliable"""
148,"147,147,""","Carroll County"","" GA""""","13045""""",15,481714,"Unreliable"""
149,"148,148,""","Catoosa County"","" GA""""","13047""""",10,271393,"Unreliable"""
150,"149,149,""","Chatham County"","" GA""""","13051""""",51,1164417,"4.4"""
151,"150,150,""","Cherokee County"","" GA""""","13057""""",31,1052811,"2.9"""
152,"151,151,""","Clarke County"","" GA""""","13059""""",16,512167,"Unreliable"""
153,"152,152,""","Clayton County"","" GA""""","13063""""",77,1171617,"6.6"""
154,"153,153,""","Cobb County"","" GA""""","13067""""",110,3046752,"3.6"""
155,"154,154,""","Columbia County"","" GA""""","13073""""",22,631021,"3.5"""
156,"155,155,""","Coweta County"","" GA""""","13077""""",20,595178,"3.4"""
157,"156,156,""","DeKalb County"","" GA""""","13089""""",161,3035582,"5.3"""
158,"157,157,""","Dougherty County"","" GA""""","13095""""",26,350520,"7.4"""
159,"158,158,""","Douglas County"","" GA""""","13097""""",32,585476,"5.5"""
160,"159,159,""","Effingham County"","" GA""""","13103""""",10,258992,"Unreliable"""
161,"160,160,""","Fayette County"","" GA""""","13113""""",13,464275,"Unreliable"""
162,"161,161,""","Floyd County"","" GA""""","13115""""",15,393800,"Unreliable"""
163,"162,162,""","Forsyth County"","" GA""""","13117""""",17,991917,"Unreliable"""
164,"163,163,""","Fulton County"","" GA""""","13121""""",202,4256787,"4.7"""
165,"164,164,""","Glynn County"","" GA""""","13127""""",10,340818,"Unreliable"""
166,"165,165,""","Gwinnett County"","" GA""""","13135""""",158,3771204,"4.2"""
167,"166,166,""","Hall County"","" GA""""","13139""""",27,820549,"3.3"""
