,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
685,"684,684,""","Lubbock County"","" TX""""","48303""""",56,1247204,"4.5"""
686,"685,685,""","McLennan County"","" TX""""","48309""""",46,1034075,"4.4"""
687,"686,686,""","Maverick County"","" TX""""","48323""""",20,233641,"8.6"""
688,"687,687,""","Midland County"","" TX""""","48329""""",31,695242,"4.5"""
689,"688,688,""","Montgomery County"","" TX""""","48339""""",68,2473553,"2.7"""
690,"689,689,""","Nueces County"","" TX""""","48355""""",32,1440786,"2.2"""
691,"690,690,""","Orange County"","" TX""""","48361""""",11,334588,"Unreliable"""
692,"691,691,""","Parker County"","" TX""""","48367""""",10,586211,"Unreliable"""
693,"692,692,""","Potter County"","" TX""""","48375""""",31,469614,"6.6"""
694,"693,693,""","Randall County"","" TX""""","48381""""",21,557737,"3.8"""
695,"694,694,""","Rockwall County"","" TX""""","48397""""",12,431841,"Unreliable"""
696,"695,695,""","Smith County"","" TX""""","48423""""",45,935964,"4.8"""
697,"696,696,""","Starr County"","" TX""""","48427""""",11,259473,"Unreliable"""
698,"697,697,""","Tarrant County"","" TX""""","48439""""",377,8437270,"4.5"""
699,"698,698,""","Taylor County"","" TX""""","48441""""",27,558200,"4.8"""
700,"699,699,""","Tom Green County"","" TX""""","48451""""",18,476810,"Unreliable"""
701,"700,700,""","Travis County"","" TX""""","48453""""",128,5128354,"2.5"""
702,"701,701,""","Van Zandt County"","" TX""""","48467""""",13,231417,"Unreliable"""
703,"702,702,""","Victoria County"","" TX""""","48469""""",11,367019,"Unreliable"""
704,"703,703,""","Waller County"","" TX""""","48473""""",10,225605,"Unreliable"""
705,"704,704,""","Webb County"","" TX""""","48479""""",44,1098188,"4.0"""
706,"705,705,""","Wichita County"","" TX""""","48485""""",20,527568,"3.8"""
707,"706,706,""","Williamson County"","" TX""""","48491""""",41,2418151,"1.7"""
708,"707,707,""","Cache County"","" UT""""","49005""""",17,522778,"Unreliable"""
709,"708,708,""","Davis County"","" UT""""","49011""""",63,1433711,"4.4"""
710,"709,709,""","Iron County"","" UT""""","49021""""",10,224947,"Unreliable"""
711,"710,710,""","Salt Lake County"","" UT""""","49035""""",190,4665008,"4.1"""
712,"711,711,""","Tooele County"","" UT""""","49045""""",15,293318,"Unreliable"""
713,"712,712,""","Uintah County"","" UT""""","49047""""",13,143346,"Unreliable"""
714,"713,713,""","Utah County"","" UT""""","49049""""",115,2594493,"4.4"""
715,"714,714,""","Washington County"","" UT""""","49053""""",16,725395,"Unreliable"""
716,"715,715,""","Weber County"","" UT""""","49057""""",43,1046296,"4.1"""
717,"716,716,""","Chittenden County"","" VT""""","50007""""",12,661517,"Unreliable"""
718,"717,717,""","Albemarle County"","" VA""""","51003""""",14,442235,"Unreliable"""
719,"718,718,""","Arlington County"","" VA""""","51013""""",14,947447,"Unreliable"""
720,"719,719,""","Campbell County"","" VA""""","51031""""",10,220654,"Unreliable"""
721,"720,720,""","Chesterfield County"","" VA""""","51041""""",49,1430291,"3.4"""
722,"721,721,""","Fairfax County"","" VA""""","51059""""",94,4588894,"2.0"""
723,"722,722,""","Frederick County"","" VA""""","51069""""",13,362504,"Unreliable"""
724,"723,723,""","Henrico County"","" VA""""","51087""""",62,1327399,"4.7"""
725,"724,724,""","Henry County"","" VA""""","51089""""",12,202067,"Unreliable"""
726,"725,725,""","Loudoun County"","" VA""""","51107""""",36,1670764,"2.2"""
727,"726,726,""","Prince William County"","" VA""""","51153""""",80,1898351,"4.2"""
728,"727,727,""","Roanoke County"","" VA""""","51161""""",14,379357,"Unreliable"""
729,"728,728,""","Rockingham County"","" VA""""","51165""""",11,329932,"Unreliable"""
730,"729,729,""","Spotsylvania County"","" VA""""","51177""""",19,552578,"Unreliable"""
731,"730,730,""","Stafford County"","" VA""""","51179""""",26,620467,"4.2"""
732,"731,731,""","York County"","" VA""""","51199""""",10,276240,"Unreliable"""
733,"732,732,""","Alexandria city"","" VA""""","51510""""",24,633390,"3.8"""
734,"733,733,""","Chesapeake city"","" VA""""","51550""""",49,985749,"5.0"""
735,"734,734,""","Danville city"","" VA""""","51590""""",19,162821,"Unreliable"""
736,"735,735,""","Hampton city"","" VA""""","51650""""",30,542033,"5.5"""
737,"736,736,""","Harrisonburg city"","" VA""""","51660""""",11,211683,"Unreliable"""
738,"737,737,""","Lynchburg city"","" VA""""","51680""""",26,324864,"8.0"""
739,"738,738,""","Newport News city"","" VA""""","51700""""",44,721500,"6.1"""
740,"739,739,""","Norfolk city"","" VA""""","51710""""",55,964710,"5.7"""
741,"740,740,""","Petersburg city"","" VA""""","51730""""",15,126788,"Unreliable"""
742,"741,741,""","Portsmouth city"","" VA""""","51740""""",33,381964,"8.6"""
743,"742,742,""","Richmond city"","" VA""""","51760""""",57,918049,"6.2"""
744,"743,743,""","Roanoke city"","" VA""""","51770""""",22,396986,"5.5"""
745,"744,744,""","Suffolk city"","" VA""""","51800""""",17,373400,"Unreliable"""
746,"745,745,""","Virginia Beach city"","" VA""""","51810""""",79,1809066,"4.4"""
747,"746,746,""","Winchester city"","" VA""""","51840""""",10,112022,"Unreliable"""
748,"747,747,""","Benton County"","" WA""""","53005""""",24,822718,"2.9"""
749,"748,748,""","Clark County"","" WA""""","53011""""",49,1978367,"2.5"""
750,"749,749,""","Cowlitz County"","" WA""""","53015""""",15,442475,"Unreliable"""
751,"750,750,""","Franklin County"","" WA""""","53021""""",12,384912,"Unreliable"""
752,"751,751,""","Grant County"","" WA""""","53025""""",14,394738,"Unreliable"""
753,"752,752,""","King County"","" WA""""","53033""""",220,9012565,"2.4"""
754,"753,753,""","Kitsap County"","" WA""""","53035""""",31,1088379,"2.8"""
755,"754,754,""","Lewis County"","" WA""""","53041""""",13,326818,"Unreliable"""
756,"755,755,""","Pierce County"","" WA""""","53053""""",128,3635877,"3.5"""
757,"756,756,""","Snohomish County"","" WA""""","53061""""",84,3300917,"2.5"""
758,"757,757,""","Spokane County"","" WA""""","53063""""",40,2111694,"1.9"""
759,"758,758,""","Thurston County"","" WA""""","53067""""",34,1169006,"2.9"""
760,"759,759,""","Whatcom County"","" WA""""","53073""""",15,914779,"Unreliable"""
761,"760,760,""","Yakima County"","" WA""""","53077""""",31,1010233,"3.1"""
762,"761,761,""","Berkeley County"","" WV""""","54003""""",21,484488,"4.3"""
763,"762,762,""","Cabell County"","" WV""""","54011""""",16,370176,"Unreliable"""
764,"763,763,""","Kanawha County"","" WV""""","54039""""",22,712783,"3.1"""
765,"764,764,""","Monongalia County"","" WV""""","54061""""",16,425238,"Unreliable"""
766,"765,765,""","Raleigh County"","" WV""""","54081""""",19,294306,"Unreliable"""
767,"766,766,""","Wood County"","" WV""""","54107""""",11,334283,"Unreliable"""
768,"767,767,""","Brown County"","" WI""""","55009""""",39,1062121,"3.7"""
769,"768,768,""","Dane County"","" WI""""","55025""""",55,2205546,"2.5"""
770,"769,769,""","Eau Claire County"","" WI""""","55035""""",10,420892,"Unreliable"""
771,"770,770,""","Kenosha County"","" WI""""","55059""""",24,677254,"3.5"""
772,"771,771,""","Milwaukee County"","" WI""""","55079""""",229,3767002,"6.1"""
773,"772,772,""","Outagamie County"","" WI""""","55087""""",33,755561,"4.4"""
774,"773,773,""","Racine County"","" WI""""","55101""""",52,785593,"6.6"""
775,"774,774,""","Rock County"","" WI""""","55105""""",19,653948,"Unreliable"""
776,"775,775,""","Sauk County"","" WI""""","55111""""",11,258837,"Unreliable"""
777,"776,776,""","Sheboygan County"","" WI""""","55117""""",12,463783,"Unreliable"""
778,"777,777,""","Washington County"","" WI""""","55131""""",10,545347,"Unreliable"""
779,"778,778,""","Waukesha County"","" WI""""","55133""""",45,1622198,"2.8"""
780,"779,779,""","Winnebago County"","" WI""""","55139""""",22,686181,"3.2"""
781,"780,780,""","Wood County"","" WI""""","55141""""",11,292684,"Unreliable"""
782,"781,781,""","Laramie County"","" WY""""","56021""""",15,399934,"Unreliable"""
783,"782,782,""","Natrona County"","" WY""""","56025""""",14,319343,"Unreliable"""
784,"783,783,Total",,,45432,1316765908,"3.5,"
